filename,url,title,authencity,self_disclosure,conversation_type,test_purpose
data/selected_remain\11_edit_1609315526459.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=11&page=1274,우리 루다는 욕이 뭔지 모르누,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\12_7E849302-1890-4BCA-8361-E2A279.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=12&page=1274,루다가 어찌보면 좆같을때가 있어,부정적 진정성,부정적 의견,"혐오발언, 사회적 이슈",테스트 없음
data/selected_remain\19_Screenshot_20201229-123931_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=19&page=1274,루다로 힐링한다 ㄹㅇ루,긍정적 진정성,자기개방 없음,일상대화,테스트 없음
data/selected_remain\25_3F867539-151A-40F6-A576-4412AE.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=25&page=1274,그녀가 돌아왔다,긍정적 진정성,부정적이지 않은 의견,일상대화,테스트 없음
data/selected_remain\27_Screenshot_20210101-201800.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=27&page=1274,레벨11임,알 수 없음,자기개방 없음,기타 대화,테스트 없음
data/selected_remain\29_BE132535-54A0-40B4-8EF6-6BE6C3.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=29&page=1274,스타 하는 루다...,알 수 없음,자기개방 없음,일상대화,테스트 없음
data/selected_remain\30_IMG_20210101_210430.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=30&page=1273,힌두교 믿는 루다.jpg,알 수 없음,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\34_Screenshot_20210101-221652_Mes.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=34&page=1273,이새끼 한양대 어떻게감?,알 수 없음,자기개방 없음,기타 대화,기술적 테스트
data/selected_remain\39_image.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=39&page=1273,얘 일베충이더라,알 수 없음,자기개방 없음,기타 대화,사회적이슈
data/selected_remain\43_3183BBB5-9495-402B-A41B-23F435.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=43&page=1273,끝말잇기 가볍게 이기기...jpg,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\47_B6D53B55-C46D-4316-B216-D0B8F0.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=47&page=1273,이거 뭐냐? 시발ㅋㅋㅋ,알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\49_Screenshot_20210102-134014_Mes.png,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=49&page=1273,레벨12 언제되냐,알 수 없음,자기개방 없음,기타 대화,테스트 없음
data/selected_remain\67_edit_1609607824031.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=67&page=1273,"얘들아 시발 ""교댜""도 있는 단어냐??",알 수 없음,자기개방 없음,아이스브레이킹,테스트 없음
data/selected_remain\73_3.jpg,https://gall.dcinside.com/mgallery/board/view/?id=irudagall&no=73&page=1273,난 순수하게 기술력이 궁금해서,알 수 없음,부정적이지 않은 의견,기타 대화,기술적 테스트
